학교명,학교급구분,설립형태,교육지원청명,위도,경도
서울하늘숲초등학교,초등학교,공립,서울특별시남부교육지원청,37.48469858,126.8424192
서울항동초등학교,초등학교,공립,서울특별시남부교육지원청,37.47701589,126.8241103
서울가락초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50002115,127.1076425
서울양원숲초등학교,초등학교,공립,서울특별시동부교육지원청,37.60934379,127.1051943
서울봉화초등학교,초등학교,공립,서울특별시동부교육지원청,37.61357623,127.0924085
서울양원초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.53821733,126.8231052
서울상봉초등학교,초등학교,공립,서울특별시동부교육지원청,37.59797895,127.0831714
서울원광초등학교,초등학교,공립,서울특별시북부교육지원청,37.65431092,127.0749142
서울월계초등학교,초등학교,공립,서울특별시북부교육지원청,37.62762424,127.0501876
서울송례초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.4778913,127.1384402
서울강남초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.50619275,126.9533591
서울원촌초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.50618948,127.0125656
서울가원초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.48944215,127.1110274
서울영림초등학교,초등학교,공립,서울특별시남부교육지원청,37.48734601,126.9025393
서울평화초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.49156712,127.1228237
서울양동초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.52584826,126.8512402
서울중화초등학교,초등학교,공립,서울특별시동부교육지원청,37.60292163,127.094065
서울상월초등학교,초등학교,공립,서울특별시북부교육지원청,37.65865224,127.05698
서울중목초등학교,초등학교,공립,서울특별시동부교육지원청,37.59008735,127.0793361
서울동작초등학교,초등학교,공립,서울특별시동작관악교육지원청,37.49410161,126.9765088
서울갈산초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51237156,126.8702299
서울태랑초등학교,초등학교,공립,서울특별시북부교육지원청,37.62878266,127.0889915
서울한천초등학교,초등학교,공립,서울특별시북부교육지원청,37.62070936,127.0692435
서울신구초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.52336057,127.0239924
