학교명,학교급구분,설립형태,교육지원청명,위도,경도,2008년 학생수,2009년 학생수,2010년 학생수,2011년 학생수,2012년 학생수,2013년 학생수,2014년 학생수,2015년 학생수,2016년 학생수,2017년 학생수,2018년 학생수,2019년 학생수,2020년 학생수,2021년 학생수,2022년 학생수
서울대왕초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.46462117,127.1055912,550,508,497,585,651,609,743,785,834,920,935,904,815,754,672
서울행현초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.55770899,127.029368,1457,1362,1282,1206,1127,1101,1048,1057,1014,970,921,805,728,666,629
서울상경초등학교,초등학교,공립,서울특별시북부교육지원청,37.67050507,127.0516742,1351,1275,1183,1112,1018,914,854,780,742,739,740,765,700,660,646
서울연천초등학교,초등학교,공립,서울특별시서부교육지원청,37.62134929,126.9299179,803,708,596,510,408,374,339,336,319,328,333,334,310,259,257
서울장충초등학교,초등학교,공립,서울특별시중부교육지원청,37.55991095,127.0117048,1366,1241,1156,1006,877,742,710,674,580,524,470,483,441,375,353
서울동호초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.54777448,127.0110373,#N/A,#N/A,278,362,393,375,409,443,460,487,502,509,475,444,453
서울삼전초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.50169984,127.0932689,1869,1655,1550,1417,1290,1168,1098,1026,953,942,920,904,829,807,782
서울대신초등학교,초등학교,공립,서울특별시서부교육지원청,37.55795026,126.9480572,373,352,337,299,277,250,260,239,219,205,195,192,179,180,184
한양초등학교,초등학교,사립,서울특별시성동광진교육지원청,37.5607855,127.0439774,767,768,737,702,688,692,693,687,681,634,616,611,604,638,666
서울대방초등학교,초등학교,공립,서울특별시남부교육지원청,37.50290012,126.9190202,915,784,736,651,547,473,455,420,403,384,512,516,758,1182,1301
서울염동초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55209548,126.8723509,1242,1207,1190,1118,1071,1019,1045,1046,1015,1059,1030,1039,991,988,976
서울상신초등학교,초등학교,공립,서울특별시서부교육지원청,37.59755372,126.9046049,1067,1025,950,881,821,781,753,701,682,661,648,655,629,610,607
서울시흥초등학교,초등학교,공립,서울특별시남부교육지원청,37.45534062,126.9046393,1420,1307,1154,1089,969,908,838,830,788,709,675,628,566,534,491
서울개운초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.60183902,127.0275962,1473,1419,1336,1309,1209,1149,1130,1070,1012,944,908,890,814,740,705
서울영원초등학교,초등학교,공립,서울특별시남부교육지원청,37.51071936,126.9021825,1176,1046,999,928,831,746,721,695,638,615,627,626,590,550,560
서울구로초등학교,초등학교,공립,서울특별시남부교육지원청,37.49746187,126.8865543,1158,1065,947,856,733,669,652,622,569,600,586,567,520,483,457
서울지향초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51283768,126.8370238,1328,1278,1162,1081,952,884,846,814,748,740,740,737,699,656,654
서울한산초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.52869458,127.1410769,1315,1217,1145,1119,1008,940,956,930,884,839,921,852,805,763,747
명지초등학교,초등학교,사립,서울특별시서부교육지원청,37.58362994,126.9282315,714,720,717,709,712,715,715,714,717,696,676,678,663,657,685
서울북성초등학교,초등학교,공립,서울특별시서부교육지원청,37.55963212,126.9518349,988,949,912,679,480,405,362,351,410,502,607,679,727,922,920
예일초등학교,초등학교,사립,서울특별시서부교육지원청,37.6109459,126.9147928,849,813,773,699,678,651,609,566,544,514,541,501,473,473,476
서울대청초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.4931481,127.0877673,321,299,246,229,216,225,215,211,205,174,169,150,143,132,116
매원초등학교,초등학교,사립,서울특별시성북강북교육지원청,37.59767468,127.0191869,473,487,507,502,540,557,528,509,494,496,476,480,463,480,496
서울창원초등학교,초등학교,공립,서울특별시북부교육지원청,37.65264409,127.0399799,958,866,787,723,657,596,551,531,495,464,424,400,372,346,319
서울창천초등학교,초등학교,공립,서울특별시서부교육지원청,37.55491782,126.9392951,324,313,297,270,252,223,229,209,188,169,144,129,152,150,159
서울백석초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55364765,126.8624258,1153,1074,1041,950,878,782,744,674,617,555,542,534,504,505,482
서울상암초등학교,초등학교,공립,서울특별시서부교육지원청,37.57633795,126.8923219,888,894,929,913,892,859,858,840,791,732,699,667,605,557,531
서울반원초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.510312,127.0040536,1975,1832,1802,1796,1741,1626,1601,1587,1502,1432,1394,1373,1332,1361,1349
서울압구정초등학교,초등학교,공립,서울특별시강남서초교육지원청,37.53173911,127.0308441,1217,1128,1099,1053,969,934,909,942,953,971,1029,1066,1009,973,915
서울쌍문초등학교,초등학교,공립,서울특별시북부교육지원청,37.64836383,127.0242911,1382,1239,1111,1020,909,836,811,796,761,746,729,690,657,637,620
서울무학초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56370023,127.0291054,1320,1181,1065,977,841,733,675,643,573,523,515,501,498,449,457
서울오봉초등학교,초등학교,공립,서울특별시북부교육지원청,37.67175795,127.040259,1470,1301,1123,980,869,759,649,553,485,422,385,384,339,340,316
서울중대초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.4998119,127.1136055,1639,1466,1351,1280,1235,1154,1158,1045,1067,1040,1049,1025,1030,1041,1028
서울길음초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.61363115,127.01666,1052,1053,1066,1028,987,967,999,1106,1204,1315,1433,1391,1368,1287,1148
서울강월초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.51634172,126.8334319,1627,1504,1400,1264,1130,1023,963,926,871,837,783,781,732,633,565
서울잠동초등학교,초등학교,공립,서울특별시강동송파교육지원청,37.51833846,127.099931,1384,1195,1097,1012,935,826,821,781,770,766,772,756,803,831,866
서울삼양초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.62329558,127.0161491,1396,1313,1186,1094,969,912,831,769,713,655,630,579,537,468,455
서울우이초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.63865468,127.0148822,2138,1997,1851,1694,1584,1460,1406,1344,1240,1239,1257,1227,1156,1105,1086
서울미양초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.62153242,127.0141334,726,687,668,615,622,640,631,641,594,598,582,557,518,498,465
서울인수초등학교,초등학교,공립,서울특별시성북강북교육지원청,37.64305053,127.0091358,1541,1340,1201,1090,971,898,840,841,819,795,830,834,797,731,681
서울등명초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.56089445,126.8423822,394,378,341,285,254,222,197,169,152,129,124,104,89,90,96
서울수명초등학교,초등학교,공립,서울특별시강서양천교육지원청,37.55277267,126.8238445,908,1371,1489,1537,1506,1501,1499,1388,1350,1286,1304,1253,1166,1042,969
서울동명초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.56812285,127.0351082,1292,980,848,751,649,559,494,452,399,364,363,345,314,310,285
서울노일초등학교,초등학교,공립,서울특별시북부교육지원청,37.67375444,127.0549667,1055,1030,963,876,815,746,666,612,584,557,539,529,516,494,479
서울경수초등학교,초등학교,공립,서울특별시성동광진교육지원청,37.54043667,127.0580668,875,778,732,633,529,476,436,431,375,329,303,281,252,236,235
